Designator,Footprint,Quantity,Value,LCSC Part #
BOOT1,3x2.5PushButton,1,TD-1183SN-1.5H(3x2.5),
C1,0805,1,22uF(0805 35V 20%),
C10,0201,1,100nF(0201 10V 10%),
C11,0201,1,100nF(0201 16V 10%),
C12,0805,1,22uF(0805 35V 20%),
C13,0805,1,22uF(0805 35V 20%),
C14,0402,1,1uF(0402 10V 10%),
C15,0402,1,1uF(0402 10V 10%),
C16,0201,1,100nF(0201 10V 10%),
C17,0201,1,100nF(0201 25V 10%),
C18,0201,1,100nF(0201 10V 10%),
C19,0201,1,100nF(0201 10V 10%),
C2,0603,1,10uF(0603 35V 20%),
C20,0201,1,100nF(0201 10V 10%),
C21,0201,1,100nF(0201 25V 10%),
C22,0201,1,100nF(0201 10.0V 10%),
C23,0603,1,22uF(0603 16V),
C24,0603,1,22uF(0603 16V),
C26,0603,1,22uF(0603 16V),
C27,0402,1,2.2uF(0402 6.3V 10%),
C28,0402,1,2.2uF(0402 6.3V 10%),
C29,0402,1,4.7uF(0402 10V),
C3,0805,1,22uF(0805 35V 20%),
C30,0201,1,15pF(0201 10V),
C31,0201,1,100nF(0201 6.3V),
C32,0201,1,1uF(0201 6.3V),
C33,0201,1,100nF(0201 10V 10%),
C34,0201,1,100nF(0201 10V 10%),
C35,0201,1,12.0pF(0201 10V),
C36,0201,1,12.0pF(0201 10V),
C37,0201,1,100nF(0201 10V 10%),
C38,0201,1,100nF(0201 10V 10%),
C39,0201,1,10nF(0201 10V 10%),
C4,0402,1,1uF(0402 35V 10%),
C40,0201,1,100nF(0201 10V 10%),
C41,0201,1,2.2uF(0201 10V 10%),
C42,0201,1,100nF(0201 10V 10%),
C43,0201,1,10nF(0201 10V 10%),
C44,0201,1,100.0nF(0201 10V),
C45,0201,1,100nF(0201 10V),
C46,0201,1,100nF(0201 10V),
C47,0201,1,100.0nF(0201 10V),
C48,0201,1,100nF(0201 10V 10%),
C49,0201,1,100nF(0201 10V),
C5,0402,1,1uF(0402 16V 10%),
C6,0402,1,1uF(0402 16V 10%),
C7,0201,1,100nF(0201 10V 10%),
C8,0402,1,1uF(0402 35V 10%),
C9,0402,1,1uF(0402 16V 10%),
D1,PESD12VV1BL_315,1,PESD12VV1BL,
D10,0201,1,LED_Blue(0201),
D11,0201,1,LED_Blue(0201),
D12,0201,1,LED_RED(0201),
D13,0201,1,LED_BLUE(0201),
D14,0201,1,LED_Green(0201),
"D2, D4",PESD5V0F1BL,2,PESD5V0F1BL,
D3,D_SOD-123F,1, SMF30CA(30V),
"D5, D7",D_SOD-123F,2,DSS34(3A 500mV),
D6,D_SOD-523,1,BZX584C9V1,
D8,0201,1,LED_Blue(0201),
D9,0201,1,LED_Blue(0201),
J1,USB_C_Small,1,USB_C_Receptacle_USB2.0,
J10,01x10_MP_sh1.0_Hori,1,ESC,
J24,TF-SMD_TF-021B-H265,1,Micro_SD_Card,
J9,01x04_sh1.0,1,Upper computer connector,
"L1, L2",Inductor_0420,2,10uH(0420),
Q1,SOT-23,1,AP40P05,
"Q2, Q3",SOT-23,2,SS8050(NPN BEC),
R1,0201,1,5.1kR(0201),
R10,0201,1,51kR(0201 25V),
R11,0201,1,20R(0201 25V),
R12,0201,1,7.68kR(0201 25V),
R13,0201,1,51kR(0201 25V),
R14,0201,1,41.2kR(0201 25V),
R15,0201,1,200.0kR(0201 50V),
R16,0201,1,22.0kR(0201 50V),
R17,0201,1,3.54k-4.02kR(0201 25V),
R18,0201,1,41.2kR(0201 25V),
R19,0201,1,10kR(0201),
R2,0201,1,5.1kR(0201),
R20,0201,1,10kR(0201),
R21,0201,1,10kR(0201),
R22,0201,1,20kR(0201 9V),
R23,0201,1,1kR(0201),
R24,0201,1,4.7kR(0201 25V),
R25,0201,1,4.7kR(0201 25V),
R26,0201,1,10kR(0201),
R28,0201,1,100R(0201),
R29,0201,1,1kR(0201),
R3,0201,1,100kR(0201 50V),
R30,0201,1,10kR(0201),
R31,0201,1,10kR(0201),
R32,0201,1,10.0kR(0201),
R33,0201,1,10.0kR(0201),
R34,0201,1,10.0kR(0201),
R35,0201,1,4.7kR(0201),
R36,0201,1,4.7kR(0201),
R37,0201,1,10kR(0201),
R38,0201,1,10kR(0201),
R39,0201,1,10kR(0201),
R4,0402,1,1MR(0402 50V),
R40,0201,1,10kR(0201),
R41,0201,1,10kR(0201),
R5,0201,1,100kR(0201 25V),
R6,0402,1,1MR(0402 50V),
R7,0201,1,100kR(0201 25V),
R8,0201,1,100kR(0201 50V),
R9,0201,1,20R(0201 25V),
"U1, U4",MP9943GQ-Z,2,MP9943GQ-Z,
U10,BMI088,1,BMI088,
U11,ICM-20602,1,ICM-20602,
U12,MPU-6500,1,MPU6500,
U13,PQFN50P200X200X80-10N,1,BMP388,
U14,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
"U2, U3",RT9013-33GB,2,RT9013-33GB,
U9,STM32H743VIHBGA100C80P10X10_800X800X110N,1,STM32H743VIH6,
Y1,Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm,1,SG-210STF/ X1G004171002700,
Y2,LSE(2012),1,ABS07 (32.768kHZ),
