Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,16.110712,8.197254,90.0,top
C1,2.700712,18.877254,0.0,top
C10,-3.249288,21.227254,180.0,bottom
C11,3.080712,7.727254,0.0,top
C12,3.890712,25.677254,90.0,bottom
C13,1.870712,25.677254,90.0,bottom
C14,4.180712,15.817254,180.0,top
C15,8.260712,3.807254,0.0,bottom
C16,3.970712,14.187254,180.0,top
C17,-4.069288,14.237254,0.0,bottom
C18,8.050712,4.677254,0.0,bottom
C19,3.970712,14.947254,180.0,top
C2,2.500712,17.077254,0.0,top
C20,8.050712,5.437254,0.0,bottom
C21,-0.379288,17.377254,0.0,top
C22,2.850712,20.677254,270.0,top
C23,3.320712,6.857254,0.0,bottom
C24,3.310712,8.387254,0.0,bottom
C26,-4.089288,20.787254,90.0,top
C27,9.590712,15.117254,180.0,bottom
C28,8.530712,16.097254,180.0,bottom
C29,12.380712,12.537254,0.0,bottom
C3,2.590712,19.037254,0.0,bottom
C30,15.510712,14.337254,0.0,bottom
C31,15.080712,17.037254,0.0,top
C32,15.090712,17.807254,0.0,top
C33,14.790712,15.457254,90.0,bottom
C34,15.900712,15.857254,180.0,bottom
C35,15.070712,11.317254,0.0,top
C36,16.530712,11.317254,180.0,top
C37,8.460712,2.927254,0.0,bottom
C38,6.450712,12.742254,90.0,bottom
C39,18.260712,17.487254,0.0,bottom
C4,-1.689288,15.697254,0.0,bottom
C42,19.720712,17.477254,0.0,bottom
C44,20.200712,9.167254,270.0,bottom
C45,11.825712,10.037254,180.0,top
C47,20.960712,9.167254,270.0,bottom
C48,20.800712,18.597254,270.0,bottom
C49,12.580712,8.777254,270.0,top
C5,1.570712,14.197254,180.0,bottom
C50,19.840712,13.867254,270.0,bottom
C51,20.710712,13.717254,270.0,bottom
C52,18.950712,13.657254,90.0,bottom
C6,3.500712,1.787254,270.0,bottom
C7,-2.939288,8.738947,270.0,bottom
C8,1.330712,17.087254,270.0,bottom
C9,3.290712,8.597254,0.0,top
D1,3.150712,6.757254,180.0,top
D10,-4.079288,5.459754,90.0,top
D11,-4.209288,23.052254,270.0,top
D12,4.810712,18.917254,90.0,top
D13,5.160712,20.047254,0.0,top
D14,5.160712,20.807254,0.0,top
D2,3.130712,11.607254,180.0,top
D3,2.050712,25.099754,270.0,top
D4,3.130712,10.437254,180.0,top
D5,1.810712,3.937254,90.0,top
D6,1.960712,22.137254,0.0,top
D7,1.820712,3.867254,90.0,bottom
D8,3.070712,13.327254,180.0,top
D9,1.790712,0.917254,0.0,top
H1,18.530712,23.937254,0.0,top
H2,18.530712,3.937254,0.0,top
H3,-1.469288,3.937254,0.0,top
H4,-1.469288,23.937254,0.0,top
J1,-2.449288,11.237254,270.0,top
J10,9.780712,24.627254,180.0,top
J24,10.230712,4.127254,0.0,top
J27,10.880712,26.437254,90.0,bottom
J3,6.730712,26.407254,90.0,bottom
J4,25.180712,20.927254,90.0,top
J6,25.180712,6.997254,90.0,top
J8,25.185712,20.927254,270.0,bottom
J9,12.810712,3.297254,180.0,bottom
L1,1.510712,11.437254,0.0,bottom
L2,-1.709288,18.567254,180.0,bottom
Q1,2.590712,21.997254,90.0,bottom
Q2,11.410712,21.817254,180.0,bottom
Q3,18.450712,19.617254,0.0,bottom
R1,3.070712,9.467254,180.0,top
R10,-2.179288,8.738947,270.0,bottom
R11,-1.849288,17.377254,0.0,top
R12,-1.769288,7.627254,180.0,bottom
R13,-3.699288,18.547254,270.0,top
R14,-1.419288,8.748947,90.0,bottom
R15,1.730712,21.027254,0.0,top
R16,1.730712,20.267254,180.0,top
R17,-4.459288,18.547254,270.0,top
R18,-3.309288,17.387254,0.0,top
R19,4.480712,13.322254,90.0,bottom
R2,3.070712,12.567254,180.0,top
R20,0.315712,0.917254,0.0,top
R21,-4.079288,4.002254,90.0,top
R22,-4.209288,24.502254,270.0,top
R23,12.630712,23.917254,0.0,bottom
R24,23.180712,13.967254,180.0,top
R25,24.660712,13.967254,0.0,top
R26,10.850712,23.917254,0.0,bottom
R28,15.120712,19.047254,0.0,top
R29,15.120712,19.807254,180.0,top
R3,0.430712,26.617254,90.0,top
R30,15.900712,15.097254,180.0,bottom
R31,16.620712,9.377254,90.0,bottom
R32,4.810712,18.917254,90.0,bottom
R33,5.160712,20.047254,0.0,bottom
R34,5.160712,20.807254,0.0,bottom
R35,9.290712,8.857254,270.0,top
R36,10.360712,10.037254,180.0,top
R37,7.280712,7.367254,90.0,top
R38,8.040712,7.367254,90.0,top
R39,8.800712,7.367254,90.0,top
R4,-2.379288,14.367254,180.0,bottom
R40,5.760712,7.367254,90.0,top
R41,6.520712,7.367254,90.0,top
R5,-0.749288,14.477254,90.0,bottom
R6,-0.099288,21.347254,180.0,bottom
R7,-1.789288,21.227254,0.0,bottom
R8,3.640712,20.867254,270.0,top
R9,-4.049288,9.077254,180.0,bottom
TP1,0.500712,22.217254,180.0,bottom
TP12,-4.219288,22.747254,180.0,bottom
TP14,16.750712,14.397254,180.0,bottom
TP15,5.460712,10.017254,0.0,top
TP16,5.460712,9.077254,0.0,top
TP2,5.680712,14.257254,180.0,bottom
TP5,3.020712,0.927254,0.0,top
TP9,-1.519288,6.567254,180.0,bottom
U1,-2.829288,11.598947,90.0,bottom
U10,19.375712,8.997254,270.0,top
U12,13.810712,8.667254,90.0,top
U13,10.960712,8.414754,270.0,top
U14,9.710712,9.107254,180.0,bottom
U16,6.595712,1.487254,180.0,bottom
U18,16.985712,7.357254,180.0,bottom
U2,3.950712,16.203054,0.0,bottom
U20,8.960712,21.777254,90.0,bottom
U21,19.139112,19.167253,0.0,top
U22,19.370712,14.037254,0.0,top
U3,5.170712,4.257254,0.0,bottom
U4,-1.169288,19.827254,0.0,top
U5,11.560056,10.716025,0.0,top
U6,7.336978,9.473198,0.0,top
U7,17.455712,1.307254,270.0,top
U8,14.920712,22.337254,270.0,bottom
U9,10.040712,15.487254,180.0,top
USART_Combo1,25.185712,6.997254,270.0,bottom
Y1,15.830712,14.937254,180.0,top
Y2,15.720712,12.407254,180.0,top
